brand,parent_company,dealer_name,address,city,state_region,country_code,country_name,postal_code,latitude,longitude,phone,email,website,dealer_type,services_offered
John Deere,Deere & Company,Tellus Equipment Solutions,3555 W Alton Gloor Blvd,Brownsville,TX,US,United States,78520,25.978,-97.5209,9563509865,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,2000 E Expressway 83,Weslaco,TX,US,United States,78596,26.167,-97.9698,9569687502,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,127 N. Krome Avenue,FLORIDA CITY,FL,US,United States,33034,25.449624,-80.476745,3052479886,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,409 East US Expressway 83,Mission,TX,US,United States,78572,26.2455,-98.4571,9565851618,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,2806 N Expressway 77,Harlingen,TX,US,United States,78552,26.2202,-97.7189,9564233592,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,945 FM 3168,Raymondville,TX,US,United States,78580,26.4671,-97.77,9566892481,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,775 East Main Street,IMMOKALEE,FL,US,United States,34142,26.41725,-81.408372,2396574413,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,1365 Neptune Drive,Boynton Beach,FL,US,United States,33426,26.489999,-80.086557,5617328905,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,1945 Pine Ridge Road,NAPLES,FL,US,United States,34109,26.212586,-81.778586,2392608800,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,2017 NW 16th Street,BELLE GLADE,FL,US,United States,33430,26.704654,-80.683089,5619966531,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,13295 Southern Blvd,Loxahatchee,FL,US,United States,33470,26.683053,-80.255941,5617844000,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,820 Highway 98 North,Okeechobee,FL,US,United States,34972,27.251315,-80.850837,8637631921,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,9501 State Route 82,Fort Myers,FL,US,United States,33905,26.635402,-81.80095,2393325045,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,6150 Orange Avenue,Fort Pierce,FL,US,United States,34947,27.448092,-80.387537,7724615568,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,2825 Commerce Parkway,North Port,FL,US,United States,34289,27.086508,-82.158283,9419249709,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Fields Equipment Company,3440 US Highway 17 S,Zolfo Springs,FL,US,United States,33890,27.492,-81.7965,8637351122,zolfo@fieldsequip.com,http://www.fieldsequip.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,4241 Highway 359 East,Alice,TX,US,United States,78332,27.787,-98.0192,3616647338,OnlineSales@tellusequip.com,www.tellusequip.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,King Ranch Ag & Turf,3476 S. Highway 77,Robstown,TX,US,United States,78380,27.841116,-97.632425,3613872564,rhcadmin@king-ranch.com,https://www.kingranchagturf.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,King Ranch Ag & Turf,3812 South Padre Island Dr,Corpus Christi,TX,US,United States,78415,27.723645,-97.401239,3614520678,admincc@king-ranch.com,https://www.kingranchagturf.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,9880 US Highway 181,Taft,TX,US,United States,78390,27.9844,-97.4083,3615282535,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Tellus Equipment Solutions,1985 Highway 59 E,Beeville,TX,US,United States,78102,28.4107,-97.727,3613581717,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,906 US Hwy 301 North,Palmetto,FL,US,United States,34221,27.521977,-82.555389,9417223281,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
John Deere,Deere & Company,Everglades Equipment Group,2805 State Road 60 West,Plant City,FL,US,United States,33567,27.936384,-82.152829,8137371660,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com,Agriculture; Lawn & Garden,Sales; Parts; Service
