brand,brand_code,all_brands,dealer_name,dealer_code,dealer_type,address,city,state_region,state_code,country,country_code,postal_code,latitude,longitude,phone,fax,email,website,services_offered,region,account_id
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Gleaner; Challenger; TerraGator; RoGator,"Lang Diesel, Inc.",633141,Dealership,815 West Highway 36,Smith Center,Kansas,KS,United States,US,66967,39.783696,-98.795513,(785) 282-6861,(785) 282-6576,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000UHNhNAAX
Fendt,FT,Sunflower; Fendt; Challenger; TerraGator; Massey Ferguson; Gleaner; Valtra; RoGator,Butler Ag Equipment,632448,Dealership,4000 East 47th Street,Kearney,Nebraska,NE,United States,US,68847,40.7147,-99.0567,(308) 236-4640,(308) 236-4657,,https://www.butlermachinery.com/,Parts; Sales; Service,NA,001C0000013603FIAQ
Fendt,FT,Massey Ferguson; Sunflower; Gleaner; Challenger; TerraGator; Fendt; RoGator,"Lang Diesel, Inc.",636357,Dealership,1366 Toulon Ave,Hays,Kansas,KS,United States,US,67601,38.881262,-99.243093,(785) 735-2651,(785) 301-2421,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000UHNhMAAX
Fendt,FT,Massey Ferguson; Sunflower; Challenger; Fendt; TerraGator; Gleaner; RoGator,"Lang Diesel, Inc.",636356,Dealership,144 W. Farrelly Road,Salina,Kansas,KS,United States,US,67401,38.755185,-97.61538,(785) 825-8177,(785) 823-2281,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000eeVyKAAU
Fendt,FT,Massey Ferguson; Sunflower; Challenger; TerraGator; Gleaner; Fendt; RoGator,"Lang Diesel, Inc.",633171,Dealership,15 S.E. 90 Avenue,Ellinwood,Kansas,KS,United States,US,67526,38.333088,-98.609202,(620) 564-2255,(620) 564-2276,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000UHNhLAAX
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Challenger; TerraGator; Gleaner; Valtra; RoGator,Butler Ag Equipment,632694,Dealership,1300 West Pickrell Rd,Pickrell,Nebraska,NE,United States,US,68422,40.378558,-96.740901,(402) 673-4200,(402) 673-4217,,https://www.butlerag.com/,Parts; Sales; Service,NA,001C000001DauvZIAR
Fendt,FT,Massey Ferguson; Fendt; Valtra; Gleaner; Challenger; Sunflower; TerraGator; RoGator,True Ag and Turf,630131,Dealership,2526 East 23rd Street,Columbus,Nebraska,NE,United States,US,68601,41.438636,-97.295532,(402) 564-3289,,,,Parts; Sales; Service,NA,001aA00000IDsYNQA1
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Challenger; TerraGator; Gleaner; RoGator,"Lang Diesel, Inc.",633148,Dealership,1280 S. Country Club Drive,Colby,Kansas,KS,United States,US,67701,39.377145,-101.03729,(785) 462-2412,(785) 462-8608,,https://www.langdieselinc.com/,Parts; Sales; Service,NA,0018000000UHNhKAAX
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Gleaner,Kincheloe's Inc.,636340,Dealership,10517 N U.S. Hwy 281,Pratt,Kansas,KS,United States,US,67124,37.6978,-98.739,(620) 672-6401,(620) 672-6794,,https://www.kincheloes.com/,Parts; Sales; Service,NA,0018000000UHNiYAAX
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Gleaner; Challenger; Valtra,"John Schmidt & Sons, Inc.",630771,Dealership,12903 E. Silver Lake Road,Mt Hope,Kansas,KS,United States,US,67108,37.792266,-97.734902,(316) 445-2103,(316) 445-2195,,https://www.schmidtinc.com/,Parts; Sales; Service,NA,0018000000UHNhbAAH
Fendt,FT,Massey Ferguson; Sunflower; Fendt; Gleaner; Challenger; TerraGator; Valtra; RoGator,Butler Ag Equipment,633526,Dealership,2831 N. County Road 20th Ave,Fremont,Nebraska,NE,United States,US,68025,41.455428,-96.536893,(402) 721-2800,(402) 753-3717,,https://www.butlermachinery.com/,Parts; Sales; Service,NA,001C00000104b0vIAA
Fendt,FT,Massey Ferguson; Fendt; Valtra; Gleaner; Challenger; Sunflower; TerraGator; RoGator,True Ag and Turf,630132,Dealership,110 West 35th Street,Falls City,Nebraska,NE,United States,US,68355,40.08,-95.598,(402) 245-2419,,,,Parts; Sales; Service,NA,001aA00000IDnn0QAD
