brand,dealer_name,address,city,state_region,country,postal_code,latitude,longitude,phone,fax,email,website,dealer_type,services_offered,dealer_id,source
Landini,BYC International,",  Ciudad de Panama, Panamá",Panamá,,AR,,9.0458577,-79.4666325,+507 3933 677,,info@bycinternacional.com,https://bycinternacional.com/,,,1862,argo_es-ar
Landini,DERCO Perù S.A.,",  Lima, República del Perú",República del Perú,,AR,,-12.0509044,-76.9447868,+511 713 5001,,wloayza@dercoperu.net,https://www.dercomaq.pe/productos?negocios=agricola&nuevo=true,,,1866,argo_es-ar
Landini,DISTRIBUIDORA AGRICOLA LANDINI C.A,Via La Colonia - Zona Industri Estado Portuguesa - País VENEZ,Via La Colonia - Zona Industri Estado Portuguesa - País VENEZ,,AR,,9.094399899999999,-69.097023,+58 4124580826,,landinituren@gmail.com,,,,8237,argo_es-ar
Landini,EURONOVA,",  Santo Domingo, Rep. Dominicana",Rep. Dominicana,,AR,,18.483642,-69.9625952,+1 809-683-2488,,euro.nova@hotmail.com,https://it-it.facebook.com/euronovard/,,,1865,argo_es-ar
Landini,FORMUNICA S.A.,", 12066 Managua, República de Nicaragua",República de Nicaragua,,AR,,12.141911,-86.2811569,+505 2 268 7041,,info@formunica.com,http://www.formunica.com,,,1867,argo_es-ar
Landini,Grupo SC,"Ruta Provincial 11 133, X2677 Ucacha, Córdoba, Argentina",Córdoba,,AR,,-33.0447715,-63.48904880000001,+54 9 353 441 5860,,info@scinnovate.com.ar,,,,6193,argo_es-ar
Landini,MEINDERTSMA,",  Paramaribo, Republiek Suriname",Republiek Suriname,,AR,,5.8005937,-55.1770775,+507 3933 677,,info@meindertsmasurnv.com,http://www.meindertsmasurnv.com/,,,1864,argo_es-ar
Landini,Montaño & Gutierrez S.A.S,",  Bogotá, República de Colombia",República de Colombia,,AR,,4.6224949,-74.089564,+57 313 8524410,,jonathanmontano@mygsas.com.co,http://www.mygsas.com.co,,,1860,argo_es-ar
Landini,"Tecnoagrícola de Centroamérica, S.A.",", 40703 Belén, República de Costa Rica",República de Costa Rica,,AR,,9.9875564,-84.1653265,+506 22939696,,info@tecnoagricola.cr,https://www.tecnoagricola.cr/,,,1870,argo_es-ar
Landini,Tractores McCormick de Centro América,",  Amatitlan, Guatemala – Salvador",Guatemala – Salvador,,AR,,14.4605359,-90.6425297,502 2307 4037,,mccormickrecepcion@gmail.com,https://www.facebook.com/McCormickTractoresdeCentroAmerica/,,,1863,argo_es-ar
Landini,Vision Equipment Supply,",  Barbados, Barbados – Caribbean Island",Barbados – Caribbean Island,,AR,,13.1363332,-59.4675191,+1 246-851-3581,,sales@visionsupplybb.com,https://visionsupplybb.com/,,,1861,argo_es-ar
Landini,WOSLEN S.A.,"RUTA 101, KM 21,900 COLONIA NICOLICH CANELONES URUGUAY   14000",900 COLONIA NICOLICH CANELONES URUGUAY,,AR,14000,-34.8230303,-56.0092208,+598 2683 0088,,info@woslen.com.uy,https://www.woslen.com.uy/store/,,,8236,argo_es-ar
Landini,BLACK TRUCK AND AG,", 4343 Gatton, QLD",QLD,,AU,,-27.5748352,152.2630881,(07) 5462 1266,,marketing@harveyblackgroup.com.au,https://blacktruckandag.com.au/,,,1931,argo_au
Landini,BLACK TRUCK AND AG,", 4350 Wilsonton, QLD",QLD,,AU,,-27.5460579,151.9042478,(07) 4631 4200,,marketing@harveyblackgroup.com.au,https://blacktruckandag.com.au/,,,1930,argo_au
Landini,BLACK TRUCK AND AG,", 4455 Roma, QLD",QLD,,AU,,-26.5737429,148.8230875,(07) 4624 4800,,marketing@harveyblackgroup.com.au,https://blacktruckandag.com.au/,,,1929,argo_au
Landini,BLACK TRUCK AND AG,", 4390 Goondiwindi, QLD",QLD,,AU,,-28.5266349,150.2895356,(07) 4677 8100,,marketing@harveyblackgroup.com.au,https://blacktruckandag.com.au/,,,1928,argo_au
Landini,BLACK TRUCK AND AG,", 4405 Dalby, QLD",QLD,,AU,,-27.1902338,151.2690067,(07) 4679 8600,,marketing@harveyblackgroup.com.au,http://blacktruckandag.com.au/,,,1927,argo_au
Landini,Burdekin Motorcycles,"266 Queen St, Ayr QLD 4807, Australia",Ayr QLD,,AU,4807,-19.5825307,147.4001913,(07) 4783 3773,,enquiries@burdekinmotorcycles.com.au,https://www.burdekinmotorcycles.com.au/,,,1924,argo_au
