brand,dealer_id,dealer_name,name_affix,address,house_number,city,state_region,country,country_name,postal_code,latitude,longitude,phone,email,website,dealer_type,is_independent_service_partner,services_offered,delivery_programs,delivery_program_icons,dealer_locator_ids
CLAAS,30001030,"""R u. S"" Mehele GmbH",,Radetzkystrasse,132,Hohenems,,AT,Austria,6845,47.37825,9.70239,+43 (0) 5576 72 397,info@mehele.at,www.mehele.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; Combines; Forage Harvesters; EASY (Electronics); Balers,03C; 02B; 01A; 02C; 01B; 03D; 01C; 03E; 02D; 03F; 02E; 01D; 02F; 07A; 07B; 07C; 04A; 03A; 03B; 02A,tractors; service_and_parts; forage_harvester_machinery; telehandlers; combines; forage_harvester; easy; balers,1; 12; 5; 6; 9
CLAAS,30425725,AXIAL Landtechnik GmbH,,Industriestraße,3,Bruck an der Leitha,Lower Austria,AT,Austria,2460,48.0338409,16.7949023,+43(0) 2162 83299,office@axial-landtechnik.at,www.axial-landtechnik.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; Combines; Forage Harvesters; EASY (Electronics); Balers,01A; 02B; 03C; 01B; 02C; 03D; 01C; 02D; 03E; 01D; 02E; 03F; 02F; 07A; 07B; 07C; 04A; 03A; 02A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; combines; forage_harvester; easy; balers,11; 12; 1; 5; 6; 9
CLAAS,30137092,Andreas Frank,Maschinen und Ersatzteile,St. Margarethenstrasse,160,Bad Vigaun,,AT,Austria,5424,47.67288,13.12534,+43 (0) 664 8700596,a.frank@frank-landtechnik.at,,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; EASY (Electronics); Balers,03C; 01A; 03D; 01B; 01C; 03E; 03F; 01D; 07A; 07B; 07C; 04A; 03A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; easy; balers,12; 1; 5; 6; 9
CLAAS,30140220,Andreas Wallinger,,Alkersdorf,5b,Sankt Georgen im Attergau,,AT,Austria,4880,47.93346,13.51158,+43 (0) 7667 20026,office@manfredwallinger.com,www.wallinger-kfz.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; EASY (Electronics); Balers,01A; 03C; 03D; 01B; 03E; 01C; 03F; 01D; 07A; 07B; 07C; 04A; 03A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; easy; balers,12; 1; 5; 6; 9
CLAAS,30388716,Christoph Heindl Landtechnik,Großglobnitz,Großglobnitz,47,Zwettl,,AT,Austria,3910,48.6732417,15.1636755,,,,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; Combines; Forage Harvesters; EASY (Electronics); Balers,03C; 01A; 02B; 01B; 02C; 03D; 03E; 01C; 02D; 01D; 02E; 03F; 02F; 07A; 07B; 07C; 04A; 03A; 02A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; combines; forage_harvester; easy; balers,12; 1; 5; 6; 9
CLAAS,30134068,Christoph Heindl Landtechnik  Hürm,,Betriebsgebiet Hürm,1/6,Inning,,AT,Austria,3383,48.18407,15.41895,+43 (0) 2754 20 555,office@landtechnik-heindl.at,www.landtechnik-heindl.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; Combines; Forage Harvesters; EASY (Electronics); Balers,03C; 02B; 01A; 01B; 03D; 02C; 02D; 03E; 01C; 03F; 02E; 01D; 02F; 07A; 07B; 07C; 04A; 03A; 02A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; combines; forage_harvester; easy; balers,11; 12; 1; 5; 6; 9
CLAAS,30329629,Christoph Heindl Landtechnik GmbH,,Albersberg,5,Ardagger,,AT,Austria,3321,48.1566965,14.7842288,+43 (0) 2754 20 555,office@landtechnik-heindl.at,www.landtechnik-heindl.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; Combines; Forage Harvesters; EASY (Electronics); Balers,01A; 03C; 02B; 01B; 03D; 02C; 02D; 01C; 03E; 03F; 02E; 01D; 02F; 07A; 07B; 07C; 04A; 03A; 02A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; combines; forage_harvester; easy; balers,12; 1; 5; 6; 9
CLAAS,30178452,Christoph Ortner,Land & Gartentechnik,Kollersdorf,25,Kirchberg am Wagram,,AT,Austria,3474,48.4078,15.84721,+43 (0) 2738 23 26,office@lgt-ortner.at,www.lgt-ortner.at,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; EASY (Electronics); Balers,03C; 01A; 03D; 01B; 01C; 03E; 03F; 01D; 07A; 07B; 07C; 04A; 03A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; easy; balers,1; 12; 5; 6; 9
CLAAS,30400207,ERHART GmbH,,Gewerbepark Süd,1,Preding,Styria,AT,Austria,8504,46.8527352,15.4116058,+4331852311,e-rechnung@erhart.co.at,,Sales & Service,False,Tractors; Service & Parts; Forage Harvesting Machinery; Telehandlers; EASY (Electronics); Balers,01A; 03C; 01B; 03D; 01C; 03E; 01D; 03F; 07A; 07B; 07C; 04A; 03A; 03B,tractors; service_and_parts; forage_harvester_machinery; telehandlers; easy; balers,12; 1; 5; 6; 9
CLAAS,30305828,Einetter & Simoner OG,,Simmerlach,25,Irschen,,AT,Austria,9781,46.7504612,12.9965924,,,,Sales & Service,False,Tractors; Service & Parts,07A; 07B; 07C,tractors; service_and_parts,12; 1; 5; 6; 9
