brand,dealer_number,dealer_name,address,city,state_region,country,country_code,postal_code,latitude,longitude,phone,fax,email,website,dealer_type,services_offered,super_region,region,sap_number
Case IH,EUROPE-CASEIH-0001-00,CNHI International SA,Please contact our Central Offices,,,Albania,AL,,41.325005,19.812995,international@caseih.com,,international@caseih.com,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=EUROPE-CASEIH-0001-00,,,European AG,International Region,
Case IH,CSAG-AUT-060550-99,RS-Technik,Garmischer Straße 19,Ehrwald,,Austria,AT,6632,47.39375,10.93337,0043 5673 3139,,office@rs-technik.tirol,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-AUT-060550-99,,Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,143845
Case IH,CSAG-AUT-070040-97,Vögel Landtechnik,Kirchdorf 5,Langenegg,,Austria,AT,6941,47.46106,9.90728,0043 664 4183117,,office@voegel-landtechnik.at,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-AUT-070040-97,,Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,127492
Case IH,CSAG-AUT-515559-02,Agxor Vertriebsgesellschaft Ost GmbH - St. Andrä,Wienerstraße 27,St. Andrä am Zicksee,,Austria,AT,7161,47.78675,16.94072,0043 2176 2983910,,,http://www.caseih.com/emea/de-at/pages/dealer-landing-page.aspx?idDealer=CSAG-AUT-515559-02,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Austria,515559
Case IH,CSAG-AUT-070040-00,Wohllaib Karl Ges.m.b.H.,Fahl 66,Sulzberg,Bregenz,Austria,AT,6934,47.54074,9.88307,0043 5575 4470,0043 557544709,office@wohllaib.at,http://www.caseih.com/emea/de-at/pages/dealer-landing-page.aspx?idDealer=CSAG-AUT-070040-00,,Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,127492
Case IH,CSAG-AUT-515559-98,Raiffeisen-Lagerhaus Marchfeld eGen - Fachwerkstätte Lassee,"Bahnstraße,62",Lassee,Gänserndorf,Austria,AT,2291,48.23175,16.82093,0043 6646273510,,whadasch@marchfeld.rlh.at,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-AUT-515559-98,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,515559
Case IH,CSAG-AUT-060080-00,Rietzler Landtechnik GmbH & Co KG,Ried im Oberinntal 39,Ried im Oberinntal,Landeck,Austria,AT,6531,47.05543,10.65626,0043 5472641218,0043 54722031520,landtechnik-rietzler@rietzler.at,http://www.caseih.com/emea/de-at/pages/dealer-landing-page.aspx?idDealer=CSAG-AUT-060080-00,,Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,Austria,127527
Case IH,CSAG-AUT-060090-00,Wiedemayr Landtechnik GmbH,Panzendorf 194,Heinfels,Lienz,Austria,AT,9919,46.74939,12.44641,0043 4842664411,0043 484266447,landtechnik@wiedemayr.at,http://www.caseih.com/emea/de-at/pages/dealer-landing-page.aspx?idDealer=CSAG-AUT-060090-00,,Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,127538
Case IH,CSAG-AUT-515559-01,Agxor Vertriebsges. Ost GmbH - Neudorf,Neudorf bei Staatz 502,Neudorf bei Staatz,Mistelbach,Austria,AT,2135,48.71899,16.50145,0043 252381846,0043 25238184612,info.harmannsdorf@agxor.com,http://www.caseih.com/emea/de-at/pages/dealer-landing-page.aspx?idDealer=CSAG-AUT-515559-01,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,Austria,515559
Case IH,CSAG-BIH-512703-00,Motoremont d.o.o. - Gradiška,Rovine 103,Gradiška,Banja Luka,Bosnia Herzegovina,BA,78400,45.07682,17.3057,00387 51 892 404,,motoremont.ss@gmail.com,https://www.caseih.com/emea/en-za/dealer-landing-page?idDealer=CSAG-BIH-512703-00,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,International Region,512703
Case IH,CSAG-BLX-007219-00,LUYCKX José BVBA,Roeselarestraat 4A,ROLLEGEM-KAPELLE,West-Vlaanderen,Belgium,BE,8880,50.863,3.15257,00 3256509410,00 3256509355,info@luyckxjose.be,http://www.caseih.com/emea/nl-benelux/pages/dealer-landing-page.aspx?idDealer=CSAG-BLX-007219-00,,Telescopic Handlers; Agricultural Tractors,European AG,Belgium-Luxembourg,126075
Case IH,CSAG-BGR-069787-01,Titan Machinery Bulgaria EAD - Sadievo village,Stopanski dvor,Sadievo village,Burgas,Bulgaria,BG,8522,42.65791,27.31779,00359 56 552 603,00359 56 552 603,burgas@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-01,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-02,Titan Machinery Bulgaria EAD - Dobrich,"Industrial Area 1, General Stefan Popov Str.",Dobrich,Dobrich,Bulgaria,BG,9300,43.58326,27.8226,00359 58604534,,dobrich@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-02,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-07,Titan Machinery Bulgaria EAD - Montana,"9, Gotso Mitov Str.",Montana,Montana,Bulgaria,BG,3400,43.41063,23.23827,00359 965 88253,,montana@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-07,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-05,Titan Machinery Bulgaria EAD - Pleven,"1, Grivishko shose Str.",Pleven,Pleven,Bulgaria,BG,5800,43.41394,24.65643,00359 64806347,,pleven@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-05,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-04,Titan Machinery Bulgaria EAD - Ruse,"42, Tutrakan Blvd.",Ruse,Ruse,Bulgaria,BG,7000,43.87552,26.01518,00359 82823734,,ruse@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-04,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-08,Titan Machinery Bulgaria EAD - Shumen,"78, Rishki prohod Blvd.",Shumen,Shumen,Bulgaria,BG,9700,43.25726,26.95119,00359 882 291 677,,office@titanmachinery.bg,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-BGR-069787-08,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-00,Titan Machinery Bulgaria EAD - Sofia,"455, Botevgradsko shose blrd.",Sofia,Sofia,Bulgaria,BG,1839,42.70922,23.43272,00359 29713525,00359 9713504,office@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-00,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-BGR-069787-06,Titan Machinery Bulgaria EAD - Stara Zagora,105014 Novozagorsko Shosse Str.,Stara Zagora,Stara Zagora,Bulgaria,BG,6000,42.44313,25.72805,00359 42622234,,st.zagora@titanmachinery.bg,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-BGR-069787-06,,Combine Harvesters; Large Rectangular Balers; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,130065
Case IH,CSAG-CZE-068370-84,"BV - Technika, a.s. - Lanškroun",Kralická 1007,Lanškroun,Hradec Králové and Pardubice,Czech Republic,CZ,563 01,49.92141,16.61836,00420 465 321 559,,bvtechnika@bvtechnika.cz,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-CZE-068370-84,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,European Importers,125839
Case IH,CSAG-CZE-068370-93,"BV - Technika, a.s. - Ostrava - Polanka nad Odrou",K Vydralinám 705/2,Polanka nad Odrou,Moravia-Silesia,Czech Republic,CZ,725 25,49.78509,18.15799,00420 596931838,,bvtechnika@bvtechnika.cz,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-CZE-068370-93,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,European Importers,125839
Case IH,CSAG-CZE-068370-85,"BV - Technika, a.s. - Velký Týnec",Bystřická 370,Velký Týnec,Olomouc,Czech Republic,CZ,783 72,49.55473,17.33368,00420 585 311 652,,bvtechnika@bvtechnika.cz,http://www.caseih.com/Dealers/DLP/Pages/Home.aspx?ID=CSAG-CZE-068370-85,,Combine Harvesters; Large Rectangular Balers; Telescopic Handlers; Round Balers; Agricultural Tractors,European AG,European Importers,125839
Case IH,CSAG-CZE-068370-03,Agri CS a.s. - Přeštice,Husova 380,Přeštice,Plzeň,Czech Republic,CZ,334 01,49.57532,13.31819,00420 702 265 188,,info@agrics.cz,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-CZE-068370-03,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125839
Case IH,CSAG-CZE-068370-95,UNIAGRA CZ a.s. - Týn nad Vltavou,Jarošovice 790,Týn nad Vltavou,South Bohemia,Czech Republic,CZ,375 01,49.23836,14.4539,00420 385731511,,uniagra@uniagra.cz,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-CZE-068370-95,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125839
Case IH,CSAG-CZE-068370-90,HM s.r.o. - Hodonín,Na Pískách 5,Hodonín,South Moravia,Czech Republic,CZ,695 01,48.86727,17.11801,00420 518374231,,hm@hmhodonin.cz,http://www.caseih.com/emea/en-za/pages/dealer-landing-page.aspx?idDealer=CSAG-CZE-068370-90,,Large Rectangular Balers; Combine Harvesters; Round Balers; Telescopic Handlers; Agricultural Tractors,European AG,European Importers,125839
