brand,dealer_name,address,city,state_region,country,postal_code,latitude,longitude,phone,dealer_type,services_offered,location_id,fax,email,website
John Deere,Tellus Equipment Solutions,3555 W Alton Gloor Blvd,Brownsville,TX,US,78520,25.978,-97.5209,9563509865,Agriculture; Lawn & Garden,Sales; Parts; Service,L048263,9563503895,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,2000 E Expressway 83,Weslaco,TX,US,78596,26.167,-97.9698,9569687502,Agriculture; Lawn & Garden,Sales; Parts; Service,L048348,9569684173,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Everglades Equipment Group,127 N. Krome Avenue,FLORIDA CITY,FL,US,33034,25.449624,-80.476745,3052479886,Agriculture; Lawn & Garden,Sales; Parts; Service,L012657,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Tellus Equipment Solutions,409 East US Expressway 83,Mission,TX,US,78572,26.2455,-98.4571,9565851618,Agriculture; Lawn & Garden,Sales; Parts; Service,L048249,9565853252,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,2806 N Expressway 77,Harlingen,TX,US,78552,26.2202,-97.7189,9564233592,Agriculture; Lawn & Garden,Sales; Parts; Service,L048309,9564230807,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,945 FM 3168,Raymondville,TX,US,78580,26.4671,-97.77,9566892481,Agriculture; Lawn & Garden,Sales; Parts; Service,L048207,9566896111,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Everglades Equipment Group,775 East Main Street,IMMOKALEE,FL,US,34142,26.41725,-81.408372,2396574413,Agriculture; Lawn & Garden,Sales; Parts; Service,L019679,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,1365 Neptune Drive,Boynton Beach,FL,US,33426,26.489999,-80.086557,5617328905,Agriculture; Lawn & Garden,Sales; Parts; Service,L012497,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,1945 Pine Ridge Road,NAPLES,FL,US,34109,26.212586,-81.778586,2392608800,Agriculture; Lawn & Garden,Sales; Parts; Service,L010679,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,2017 NW 16th Street,BELLE GLADE,FL,US,33430,26.704654,-80.683089,5619966531,Agriculture; Lawn & Garden,Sales; Parts; Service,L012086,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,13295 Southern Blvd,Loxahatchee,FL,US,33470,26.683053,-80.255941,5617844000,Agriculture; Lawn & Garden,Sales; Parts; Service,L019663,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,820 Highway 98 North,Okeechobee,FL,US,34972,27.251315,-80.850837,8637631921,Agriculture; Lawn & Garden,Sales; Parts; Service,L011852,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,9501 State Route 82,Fort Myers,FL,US,33905,26.635402,-81.80095,2393325045,Agriculture; Lawn & Garden,Sales; Parts; Service,L019677,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,6150 Orange Avenue,Fort Pierce,FL,US,34947,27.448092,-80.387537,7724615568,Agriculture; Lawn & Garden,Sales; Parts; Service,L011966,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,2825 Commerce Parkway,North Port,FL,US,34289,27.086508,-82.158283,9419249709,Agriculture; Lawn & Garden,Sales; Parts; Service,L011679,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Fields Equipment Company,3440 US Highway 17 S,Zolfo Springs,FL,US,33890,27.492,-81.7965,8637351122,Agriculture; Lawn & Garden,Sales; Parts; Service,L010183,8637351295,zolfo@fieldsequip.com,http://www.fieldsequip.com
John Deere,Tellus Equipment Solutions,4241 Highway 359 East,Alice,TX,US,78332,27.787,-98.0192,3616647338,Agriculture; Lawn & Garden,Sales; Parts; Service,L048394,3616643071,OnlineSales@tellusequip.com,www.tellusequip.com
John Deere,King Ranch Ag & Turf,3476 S. Highway 77,Robstown,TX,US,78380,27.841116,-97.632425,3613872564,Agriculture; Lawn & Garden,Sales; Parts; Service,L040764,3613875263,rhcadmin@king-ranch.com,https://www.kingranchagturf.com
John Deere,King Ranch Ag & Turf,3812 South Padre Island Dr,Corpus Christi,TX,US,78415,27.723645,-97.401239,3614520678,Agriculture; Lawn & Garden,Sales; Parts; Service,L048002,0000000000,admincc@king-ranch.com,https://www.kingranchagturf.com
John Deere,Tellus Equipment Solutions,9880 US Highway 181,Taft,TX,US,78390,27.9844,-97.4083,3615282535,Agriculture; Lawn & Garden,Sales; Parts; Service,L048287,3615283314,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,1985 Highway 59 E,Beeville,TX,US,78102,28.4107,-97.727,3613581717,Agriculture; Lawn & Garden,Sales; Parts; Service,L048355,3613580454,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Everglades Equipment Group,906 US Hwy 301 North,Palmetto,FL,US,34221,27.521977,-82.555389,9417223281,Agriculture; Lawn & Garden,Sales; Parts; Service,L015048,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,2805 State Road 60 West,Plant City,FL,US,33567,27.936384,-82.152829,8137371660,Agriculture; Lawn & Garden,Sales; Parts; Service,L015046,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Everglades Equipment Group,6785 114th Avenue North,Largo,FL,US,33773,27.875674,-82.732474,7278288200,Agriculture; Lawn & Garden,Sales; Parts; Service,L018742,5615167639,leads@info.everglades.equipment,https://www.evergladesfarmequipment.com
John Deere,Fields Equipment Company,3203 Havendale Blvd.,Winter Haven,FL,US,33881,28.0492,-81.7655,8639670602,Agriculture; Lawn & Garden,Sales; Parts; Service,L010182,8639678648,winterhaven@fieldsequip.com,http://www.fieldsequip.com
John Deere,Tellus Equipment Solutions,750 South IH 35,Pearsall,TX,US,78061,28.8898,-99.1183,8303343634,Agriculture; Lawn & Garden,Sales; Parts; Service,L048233,8303344537,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,1822 Bendsdale Road,Pleasanton,TX,US,78064,28.9848,-98.5018,8305693833,Agriculture; Lawn & Garden,Sales; Parts; Service,L048378,8305694953,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,207 N. Sunset Strip,Kenedy,TX,US,78119,28.8166,-97.8607,8305832017,Agriculture; Lawn & Garden,Sales; Parts; Service,L048323,8305832434,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
John Deere,Tellus Equipment Solutions,688 Hwy 97 East,Floresville,TX,US,78114,29.1638,-98.1368,8303933436,Agriculture; Lawn & Garden,Sales; Parts; Service,L048238,8303932170,OnlineSales@tellusequip.com,WWW.TELLUSEQUIP.COM
