brand,brand_code,all_brands,dealer_name,dealer_code,dealer_type,address,city,state_region,state_code,country,country_code,postal_code,latitude,longitude,phone,fax,email,website,services_offered,region,account_id
Massey Ferguson,MF,Massey Ferguson; Sunflower; Fendt; Gleaner; Challenger; TerraGator; RoGator,"Lang Diesel, Inc.",633141,Dealership,815 West Highway 36,Smith Center,Kansas,KS,United States,US,66967,39.783696,-98.795513,(785) 282-6861,(785) 282-6576,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000UHNhNAAX
Massey Ferguson,MF,Massey Ferguson; Challenger,Lincoln Farm Supply Inc.,636368,Dealership,1891 East Hwy 18,Lincoln,Kansas,KS,United States,US,67455,39.051349,-98.152769,(785) 524-4421,(785) 524-3047,,https://www.lincolnfarmsupply.com/,Parts; Sales; Service,NA,0018000000UHNhSAAX
Massey Ferguson,MF,Sunflower; Fendt; Challenger; TerraGator; Massey Ferguson; Gleaner; Valtra; RoGator,Butler Ag Equipment,632448,Dealership,4000 East 47th Street,Kearney,Nebraska,NE,United States,US,68847,40.7147,-99.0567,(308) 236-4640,(308) 236-4657,,https://www.butlermachinery.com/,Parts; Sales; Service,NA,001C0000013603FIAQ
Massey Ferguson,MF,Massey Ferguson; Sunflower; Gleaner; Challenger,"Lott Implement, Inc.",636383,Dealership,311 No. Rock Street,Minneapolis,Kansas,KS,United States,US,67467,39.123539,-97.706149,(785) 392-3110,(785) 392-3314,,https://www.lottimp.com,Parts; Sales; Service,NA,0018000000UHNi1AAH
Massey Ferguson,MF,Massey Ferguson; Sunflower; Gleaner; Challenger,"Kearney Equipment, LLC",630500,Dealership,6020 2nd Ave. W.,Kearney,Nebraska,NE,United States,US,68847,40.733816,-99.085472,(308) 234-2485,(308) 237-2602,,https://www.kearney-equipment.com/,Parts; Sales; Service,NA,0018000000UHNjRAAX
Massey Ferguson,MF,Massey Ferguson; Sunflower; Gleaner; Challenger; TerraGator; Fendt; RoGator,"Lang Diesel, Inc.",636357,Dealership,1366 Toulon Ave,Hays,Kansas,KS,United States,US,67601,38.881262,-99.243093,(785) 735-2651,(785) 301-2421,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000UHNhMAAX
Massey Ferguson,MF,Massey Ferguson; Gleaner; Challenger,Kuhlman Impl. & Hardware,636351,Dealership,301 N. Main,Linn,Kansas,KS,United States,US,66953,39.680167,-97.085661,(785) 348-5547,(785) 348-5545,,,Parts; Sales; Service,NA,0018000000UHNhaAAH
Massey Ferguson,MF,Massey Ferguson; Sunflower; Challenger; Fendt; TerraGator; Gleaner; RoGator,"Lang Diesel, Inc.",636356,Dealership,144 W. Farrelly Road,Salina,Kansas,KS,United States,US,67401,38.755185,-97.61538,(785) 825-8177,(785) 823-2281,,https://www.ldi.us/,Parts; Sales; Service,NA,0018000000eeVyKAAU
Massey Ferguson,MF,Massey Ferguson; Sunflower; Gleaner; Fendt; Challenger,"Wells Implement, Inc.",630940,Dealership,320 East Main,Plymouth,Nebraska,NE,United States,US,68424,40.303249,-96.988172,(402) 656-4435,(402) 656-3140,,https://www.wellsimplement.com/,Parts; Sales; Service,NA,0018000000UHNhdAAH
Massey Ferguson,MF,Massey Ferguson; Gleaner; Challenger,"Hilder Implement, Inc.",630410,Dealership,1703 15th Road,Central City,Nebraska,NE,United States,US,68826,41.105287,-98.018989,(308) 946-3886,(308) 946-3175,,https://www.hilderimplement.com/,Parts; Sales; Service,NA,0018000000UHNjPAAX
