brand,dealer_name,address,city,state_region,country,postal_code,latitude,longitude,phone,fax,email,website,dealer_type,services_offered,dealer_id,sap_code,source
Lamborghini Trattori; SAME,EZ AGRAR E.GEN.,SALZBURGERSTRASSE 38,LINZ,Austria,AT,4020,48.2706206,14.3111044,0043 732 34 72 660,,w.postl@ezagrar.at,,Importer,PARTS; SERVICE; TRACTORS,C4855X,0010000113,lamborghini_api
Lamborghini Trattori,N.V. HOCKE' S.A.,ALPHONSE GOSSETLAAN 13,DILBEEK (GROOT BIJGAARDEN),Belgium,BE,B-1702,50.8724299,4.2777669,00 32-2-4672811,,ann.hemels@hocke.be,https://www.hocke.be/,Importer,PARTS; SERVICE,C555X,0010001486,lamborghini_api
Lamborghini Trattori,AGROMACHINA  GROUP LTD,DIANA STREET N. 17,MONTANA  - BULGARIA -,Bulgaria,BG,3400,43.4113,23.2389,+35928431026,,info@agromachinagroup.com,www.agromachinagroup.com,Importer,PARTS; SERVICE; TRACTORS; AGRICENTER,C5156X,0010000413,lamborghini_api
Lamborghini Trattori,AGROMACHINA GROUP Ltd. Pazardzik,24 Doctor Nikola Lambrev street,Pazardzhik,Bulgaria,BG,4400,42.1814,24.3227,-,,info@agromachinagroup.com,www.agromachinagroup.com,Importer branch,PARTS; SERVICE; TRACTORS; AGRICENTER,C5155X,0010000413,lamborghini_api
Lamborghini Trattori,AGROMACHINA GROUP Ltd. Silistra,Industrial Zone,Kalipetrovo,Bulgaria,BG,7539,44.0714,27.2541,-,,info@agromachinagroup.com,www.agromachinagroup.com,Importer branch,PARTS; SERVICE; TRACTORS; AGRICENTER,C5154X,0010000413,lamborghini_api
Lamborghini Trattori,AGROMACHINA GROUP Ltd. Sofia,13 Parva Balgarska Armia street,Sofia,Bulgaria,BG,1220,42.7247,23.3246,35928431026,,info@agromachinagroup.com,www.agromachinagroup.com,Importer branch,PARTS; SERVICE; TRACTORS; AGRICENTER,C5152X,0010000413,lamborghini_api
Lamborghini Trattori,AGROMACHINA GROUP Ltd. Yambol,18 Evropa Blvd.,Yambol,Bulgaria,BG,8600,42.495,26.4847,-,,info@agromachinagroup.com,www.agromachinagroup.com,Importer branch,PARTS; SERVICE; TRACTORS; AGRICENTER,C5153X,0010000413,lamborghini_api
SAME,AB Maschinentechnik AG,"Grundstrasse 6, Ganterschwil 9608",Ganterschwil,,CH,9608,47.381228,9.087111,071 983 28 66,,,www.ab-maschinentechnik.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2602,,same_nuxt_de-ch
SAME,AGRIMONTANAIRE SARL,"RUE DE LA CURE 12, THIERRENS 1410",THIERRENS,,CH,1410,46.705468,6.758351,021 905 31 54,,,www.agrimontanaire.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2489,,same_nuxt_de-ch
SAME,ALPHATEC SA,"Route de Senèdes 16, SENEDES 1724",SENEDES,,CH,1724,46.749893,7.159941,026 413 38 50,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2685,,same_nuxt_de-ch
SAME,AMSTAD SERVICE GMBH,"RIGISTRASSE 4, DIERIKON 6036",DIERIKON,,CH,6036,47.100880,8.388842,041 450 20 18,,,www.amstadservice.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2363,,same_nuxt_de-ch
SAME,BAB TECHNIK AG,"FLURHOFSTRASSE 11, BUOCHS 6374",BUOCHS,,CH,6374,46.977272,8.413175,041 620 44 64,,,www.bab-technik.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2385,,same_nuxt_de-ch
SAME,BACHMANN AGROTECH AG,"Herdmatten, BENZENSCHWIL 5636",BENZENSCHWIL,,CH,5636,47.245655,8.358935,056 677 70 50,,,www.rubach.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2441,,same_nuxt_de-ch
SAME,Dätwyler Agro GMBH,"Stammrain 15, Staffelbach 5053",Staffelbach,,CH,5053,47.283174,8.044533,062 721 11 35,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2779,,same_nuxt_de-ch
SAME,E. WYTTENBACH AG,"LINDENSTRASSE 3, NEUENEGG 3176",NEUENEGG,,CH,3176,46.894946,7.304883,031 741 00 71,,,www.wyttenbachag.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2492,,same_nuxt_de-ch
SAME,EGLI GUIDO,"STATION 8, LUETISBURG-STATION 9601",LUETISBURG-STATION,,CH,9601,47.393682,9.112340,071 983 36 10,,,www.egli-landmaschinen.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2387,,same_nuxt_de-ch
SAME,FRANZ JAEGGI AG,"NEUFELDWEG 1, NEUENDORF 4623",NEUENDORF,,CH,4623,47.304158,7.792823,062 398 22 17,,,www.jaeggi-ag.com,,PARTS; SERVICE; TRACTORS; AGRICENTER,2392,,same_nuxt_de-ch
SAME,GLT HALDIMANN AG,"AM RAIN 4, WALPERSWIL 3272",WALPERSWIL,,CH,3272,47.059965,7.229205,032 396 14 39,,,www.glt-haldimann.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2580,,same_nuxt_de-ch
SAME,HEINIGER LANDTECHNIK AG,"EBNET 35, EBNET 6163",EBNET,,CH,6163,47.021713,8.077316,041 480 13 75,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2465,,same_nuxt_de-ch
SAME,HERRMANN UND ZULLIGER AG,"HAUPTSTRASSE 47, LEIMISWIL 4935",LEIMISWIL,,CH,4935,47.151435,7.770160,062 965 39 79,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2418,,same_nuxt_de-ch
SAME,HILTBRUNNER LANDMASCHINEN AG,"HEGEN 28, ERISWIL 4952",ERISWIL,,CH,4952,47.073266,7.869924,062 966 19 14,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2905,,same_nuxt_de-ch
SAME,Hirschi Lustenberger Technik AG,"Hauptstrasse 48, Escholzmatt 6182",Escholzmatt,,CH,6182,46.920646,7.940426,+41 41 486 13 77,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,6039,,same_nuxt_de-ch
SAME,KUNZ MAX,"PFANNENSTIELSTR. 26, EGG 8132",EGG,,CH,8132,47.300110,8.686841,044 984 05 87,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2479,,same_nuxt_de-ch
SAME,LANDMASCHINEN ROTH GMBH,"STAATSSTRASSE 4, HEIMENSCHWAND 3615",HEIMENSCHWAND,,CH,3615,46.824700,7.685580,+41 33 453 12 60,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2720,,same_nuxt_de-ch
SAME,ROTACH LANDMASCHINEN,"LEO JUNG-STRASSE 7, ZUCKENRIET 9526",ZUCKENRIET,,CH,9526,47.483501,9.162407,071 947 13 77,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2388,,same_nuxt_de-ch
SAME,RUDER TRAKTOREN AG,"HAUPTSTR. 38, ZIHLSCHLACHT 8588",ZIHLSCHLACHT,,CH,8588,47.520620,9.259439,071 422 22 05,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2400,,same_nuxt_de-ch
SAME,S. MORISOLI & FIGLI SA,"EL STRADUN 33, MONTE CARASSO 6513",MONTE CARASSO,,CH,6513,46.188394,8.996462,091 825 16 79,,,www.morisoli.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2706,,same_nuxt_de-ch
SAME,SCHMID + MAEGERT AG,"HAUPTSTRASSE 100, REICHENBACH 3713",REICHENBACH,,CH,3713,46.612126,7.671547,033 676 70 70,,,www.s-m.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2817,,same_nuxt_de-ch
SAME,SCHWITTER LANDMASCHINEN AG,"ZEUGHAUSSTRASSE 30, MELS 8887",MELS,,CH,8887,47.055834,9.410147,081 723 83 22,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2490,,same_nuxt_de-ch
SAME,SONDER SA,"PLAZ 1, MON 7458",MON,,CH,7458,46.650175,9.564295,081 681 17 55,,,www.sonder-sa.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2401,,same_nuxt_de-ch
SAME,STAUB AG,"DORFSTRASSE 16, HAGENBUCH 8523",HAGENBUCH,,CH,8523,47.521600,8.890090,052 364 27 64,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2391,,same_nuxt_de-ch
SAME,Scherer Mechanik GmbH,"Via Suot Crasta 4, Celerina 7505",Celerina,,CH,7505,46.510264,9.857413,079 241 27 02,,,www.scherer-mechanik.ch,,PARTS; SERVICE; TRACTORS; AGRICENTER,2480,,same_nuxt_de-ch
SAME,Schneider Landmaschinen AG,"ST. GALLERSTRASSE 9, MATZINGEN 9548",MATZINGEN,,CH,9548,47.518727,8.935200,052 376 16 95,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2390,,same_nuxt_de-ch
SAME,Schweri Landmaschinen AG,"REBENSTRASSE 59, WISLIKOFEN 5463",WISLIKOFEN,,CH,5463,47.557400,8.364600,056 250 53 00,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2712,,same_nuxt_de-ch
SAME,Suter Agrartechnik AG,"Alte Landstrasse 1a, Sins 5643",Sins,,CH,5643,47.186668,8.399053,041 788 08 10,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,6046,,same_nuxt_de-ch
SAME,T. DIETHELM LANDTECHNIK AG,"ALTERSHEIMSTRASSE 25, GALGENEN 8854",GALGENEN,,CH,8854,47.179641,8.870462,055 440 34 64,,,www.tdiethelm.swiss,,PARTS; SERVICE; TRACTORS; AGRICENTER,2691,,same_nuxt_de-ch
SAME,TRUNIGER LANDMASCHINEN AG,"LANGENSTEIG, DIETFURT 9615",DIETFURT,,CH,9615,47.337479,9.083972,071 980 04 77,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2714,,same_nuxt_de-ch
SAME,UNTERNAEHRER KURT AG,"HEILIGKREUZSTR. 4, HASLE 6166",HASLE,,CH,6166,46.979521,8.053988,041 480 36 72,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2403,,same_nuxt_de-ch
SAME,VOELLMIN LANDTECHNIK AG,"HEMMIKERSTR. 51, ORMALINGEN 4466",ORMALINGEN,,CH,4466,47.471988,7.881814,061 985 86 66,,,http://www.voellminag.ch/,,PARTS; SERVICE; TRACTORS; AGRICENTER,4303,,same_nuxt_de-ch
Lamborghini Trattori; Huerlimann,WALKER FAHRZEUGTECHNIK AG,FURKASTRASSE 140B,NATERS,,CH,3904,46.3277143,8.01074079,+41 27 927 30 58,,info@garage-walker.ch,www.garage-walker.ch,Authorized Workshop,PARTS; SERVICE; AGRICENTER,C383X,0010001319,lamborghini_api
SAME,WYSS STEPHAN LANDTECHNIK GMBH,"SOLOTHURNERSTRASSE 29, BAETTERKINDEN 3315",BAETTERKINDEN,,CH,3315,47.136710,7.537390,032 665 33 35,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2405,,same_nuxt_de-ch
SAME,Zuberbühler Landmaschinen AG,"HAUPTSTRASSE 4, SCHOENENGRUND 9105",SCHOENENGRUND,,CH,9105,47.327136,9.218935,071 361 12 24,,,,,PARTS; SERVICE; TRACTORS; AGRICENTER,2406,,same_nuxt_de-ch
Deutz-Fahr; Lamborghini Trattori; SAME,SARGENT AGRICOLA LTDA,AV. GENERAL VELASQUEZ,SAN BERNARDO,,CL,8050000,-33.5379,-70.7074,-,,rmaldonado@sargentchile.cl,,Importer,,C2421X,0010001952,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,SATURNIA S.A.,1 km Este de Plaza del Sol,Curridabat,Costa Rica,CR,01000,9.9198182,-84.0357417,+506 2280 4060,,gsansonetti@saturniacr.com,https://saturnia.sdfdealer.com/,Importer,PARTS; SERVICE; TRACTORS,C4883X,0010000144,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,Agrartechnik Helmer GmbH & Co.KG,Salbeiweg 3c,Rain/Lech,Bayern,DE,86641,47.686,9.82909,09090 922 85 35,,info@agrartechnik-helmer.de,,Independent workshop,PARTS,C32C,0020028157,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,Andreas Blendl Land- & Baumaschinentechnik,Kirchberg 10,Hohenthann,Bayern,DE,84098,48.5511,11.9946,08784 361 01 21,,info@blendl-landtechnik.de,,Independent workshop,PARTS; SERVICE,C122C,0020025410,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,Armin Schuster Landtechnik GmbH & Co.KG,Moosfeldstr. 6A,Ettringen,Bayern,DE,86833,48.1301014,10.6593708,-,,info@schuster-landtechnik.de,www.schuster-landtechnik.de,Affiliated Dealer,PARTS; SERVICE; TRACTORS,C4294X,0020008782,lamborghini_api
SAME,Auto-Traktor-Bretschneider e.K.,"MITTLERE HAUPTSTRASSE 32, GLASHUETTE OT DITTERSDORF 01768",GLASHUETTE OT DITTERSDORF,,DE,01768,50.832188,13.806525,035053 487 25,,,www.meisterhaft-bretschneider.de,,PARTS; SERVICE; TRACTORS,1288,,same_nuxt_de-de
Deutz-Fahr; Lamborghini Trattori; SAME,BAASCH ROLF MASCHINEN + SERVICE,SCHULSTRASSE 37,HORST,,DE,25358,53.8157409,9.609115,04126 3923 0,,info@baasch-maschinen.de,www.baasch-maschinen.de,Dealer,PARTS; SERVICE; TRACTORS,C5247X,0010000505,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,BAG Hochdorf,Am Bahnhof 2,Hochdorf,Baden-Württemberg,DE,88454,48.0101972,9.7620893,07355/9325-0,,info@bag-bad-waldsee.de,https://www.bag-bad-waldsee.de/essendorf/,Dealer Branch,PARTS; SERVICE; TRACTORS,C3555X,0010003165,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,BAUWESTA und Landmaschinen GmbH,Am Flugplatz,Langen Trechow,Mecklenburg-Vorpommern,DE,18246,53.8844,11.9352,038461 59325,,ronny.weber@bauwesta.de,www.bauwesta.de,Dealer Branch,PARTS; SERVICE; TRACTORS,C910X,0010000639,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,BERTHOLD KNIELE LANDTECHNIK,Buchauer Straße 6,Bad Schussenried,Baden-Württemberg,DE,88427,48.0089271,9.65314199,07583 2230,,kniele.landtechnik@gmail.com,www.kniele-landtechnik.de,Dealer,PARTS; SERVICE; TRACTORS,C5278X,0010000535,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME,BODENMUELLER LANDTECHNIK GMBH,OCHSENHAUSER STR. 19,REINSTETTEN,,DE,88416,48.1081339,9.9471138,07352 2488,,alfred@bodenmueller-landtechnik.de,www.bodenmueller-landtechnik.de,Dealer,PARTS; SERVICE; TRACTORS,C5431X,0010004048,lamborghini_api
Deutz-Fahr; Lamborghini Trattori; SAME; GreenPro,Bau- u. Heimwerkermarkt Sailer,MAX-PLANCK-STR. 1,LANDSBERG,,DE,86899,48.0627754,10.8608484,08191 9275 0,,baumarkt-sailer@gmx.de,www.baumarkt-sailer.de,Dealer,PARTS; SERVICE; TRACTORS,C5393X,0010000634,lamborghini_api
SAME,BauFa Bau-Fahrzeugtechnik Erxleben GmbH,"Hörsinger Str. 16, Erxleben 39343",Erxleben,,DE,39343,52.454200,11.003000,039052 316,,,,,TRACTORS,3001,,same_nuxt_de-de
Lamborghini Trattori; SAME,Benz Landtechnik,BRUNNENGASSE 7+9,SULZBURG - LAUFEN,,DE,79295,47.8404625,7.6850351,07634/8258,,info@benz-metallbau.com,www.benz-landtechnik.de,Authorized Workshop,PARTS; SERVICE; TRACTORS,C5473X,0010000713,lamborghini_api
