brand,brand_code,all_brands,dealer_name,dealer_code,dealer_type,address,city,state_region,state_code,country,country_code,postal_code,latitude,longitude,phone,fax,email,website,services_offered,region,account_id
Valtra,VA,Valtra,ACA Center Bierbauer,4,Q Certified Dealer,Hauptstrasse 178,Markt Hartmannsdorf,,,Austria,AT,8311,47.055,15.84,+43 (0) 31 14 / 22 24 - 0,,bierbauer@aca-group.at,http://www.bierbauer.at,,EME,
Valtra,VA,Valtra,ACA Center Huber,5,Q Certified Dealer,Schmelzerweg 3-7,Kundl,,,Austria,AT,6250,47.476,11.98,+43 (0) 53 38 / 73 55,,huber@aca-group.at,http://www.valtra-huber.at,,EME,
Valtra,VA,Valtra,ACA Center Huber - Völs,1242,Dealership,Landesstraße 4,Völs,,,Austria,AT,6176,47.256,11.325,+43 (0) 512 / 30 30 17,,huber@aca-group.at,http://huber.aca-group.at,,EME,
Valtra,VA,Valtra,ACA Center Janu,6,Q Certified Dealer,Haidfeldgasse 5,Gerasdorf,,,Austria,AT,2201,48.338,16.469,+43 (0) 2246 / 23950,,janu@aca-group.at,http://www.valtra-janu.at,,EME,
Valtra,VA,Valtra,ACA Center NÖ-Süd,7,Q Certified Dealer,Gewerbepark B17/I Objekt A,Teesdorf,,,Austria,AT,2111,47.965,16.274,+43 (0) 22 53 / 81 500,,fendt-noe-sued@aca-group.at,http://www.fendt-noe-sued.at,,EME,
Valtra,VA,Valtra,ACA Center Perchtold,8,Q Certified Dealer,Wöllmerdorf 13,Judenburg,,,Austria,AT,8750,47.164,14.7,+43 (0) 35 72 / 824 49,,perchtold@aca-group.at,http://www.perchtold.com,,EME,
Valtra,VA,Valtra,ACA Center Roher,9,Q Certified Dealer,Gewerbepark Haag 1,Wieselburg,,,Austria,AT,3250,48.118,15.136,+43 (0) 74 16 / 5 24 72 - 0,,roher@aca-group.at,http://www.roher.at,,EME,
Valtra,VA,Valtra,ACA Center Stumpf,10,Q Certified Dealer,Haupstrasse 26,Grafenstein,,,Austria,AT,9131,46.62,14.458,+43 (0) 42 25 / 22 74 - 0,,stumpf@aca-group.at,http://www.valtra-stumpf.at,,EME,
Valtra,VA,Valtra,ACA GmbH,11,Importer,Gewerbepark Haag 3,Wieselburg-Land,,,Austria,AT,3250,48.117,15.136,07416 / 543 00 0,,office@aca-group.at,http://www.aca-group.at,,EME,
Valtra,VA,Valtra,ACA Partner Agerer,1243,Dealership,Franz-Xaver-Renn-Weg 3,Silz,,,Austria,AT,6424,47.271,10.943,+43 (0) 664 / 501 90 94,,office@landtechnik-agerer.at,http://landtechnik-agerer.at,,EME,
Valtra,VA,Valtra,ACA Partner Bierbauer,12,Dealership,1. Gewerbestraße 5,Siget in der Wart,,,Austria,AT,7501,47.261,16.259,0 3352 / 31 454,,office.rotenturm​@bierbauer.at,http://partner-bierbauer.aca-group.at,,EME,
Valtra,VA,Valtra,ACA Partner Einetter und Simoner,1241,Dealership,Simmerlach 25,Simmerlach,,,Austria,AT,9773,46.751,12.996,+43 (0) 676 / 440 78 13,,,,,EME,
