Year,8701_All_Import_USD,8701_All_Export_USD,Ag_Tractor_Import_USD,Ag_Tractor_Import_Units,Ag_Tractor_Export_USD,Ag_Tractor_Export_Units,8433_All_Import_USD,8433_All_Export_USD,Combine_Import_USD,Combine_Import_Units,Combine_Export_USD,Combine_Export_Units
2010,5378733617,4493000161,2226452551,140023,1851751137,44816,1469144745,3151028395,81447594,2225,1029047060,7049
2011,7068653653,6578065520,2488206239,149560,2406337822,53058,1728046270,3926574370,179317113,16107,1395712239,9296
2012,7944642801,8112284619,2927953903,155529,2708310646,49810,2007518503,4613976162,137383994,3719,1743419357,10001
2013,8768212401,6204783347,3190837993,143289,2351222440,44503,2333729166,4057425798,155305334,7426,1517963100,9019
2014,11123573531,6074008659,3420308181,153417,2315601510,49421,2274189479,3631075813,96877433,4958,1169201806,7003
2015,12205690368,5076691968,3318024222,163833,1737524543,39852,2111705536,3315518737,85595646,4286,1137634843,6292
2016,8219961948,3972605630,2929099260,146103,1593789832,35493,1985559307,2924815675,99655859,3512,824402129,5651
2017,9275504077,4629377052,2868162788,144712,1943071284,40158,2037196511,3278264411,110520300,3320,963471726,5776
2018,12615519818,5843002175,3274244457,167656,2156164686,44008,2343431227,3420032901,118621520,2282,1117193925,5806
2019,13418382209,6017740234,3409785212,188709,2021726591,40327,2499945898,3197478609,126716546,1924,1180043212,5501
2020,9986097737,3971479448,3451755113,191456,1633344091,35683,2595256447,2857620647,89480639,1988,916872838,5150
2021,13131741560,5281217875,4879139227,266312,2135318608,48328,3329354538,3607033015,190997644,1131,1089240690,7069
2022,18658449579,6301205568,6856060590,304442,2567366479,52432,4418126061,4833569684,312991875,3071,1426066373,7007
2023,19599492042,7925489898,6374536148,204203,3064783811,48318,4264212506,5267061256,418037790,3086,1786264261,6967
2024,15626629362,6687449726,4973947698,147735,2385624482,35432,4152384921,4226799609,391149571,2301,1478246522,5700
