Year,8701_All_Import_USD,8701_All_Import_Units,8701_All_Export_USD,8701_All_Export_Units,8701_All_Import_NetWgt_kg,8701_All_Export_NetWgt_kg,8433_All_Import_USD,8433_All_Export_USD,8433_All_Import_NetWgt_kg,8433_All_Export_NetWgt_kg
2000,3475619823,163918,2606637039,69142,712286964,553204830,578959994,1546445106,88866414,253719066
2001,2520490073,139883,1976346379,56007,525321336,434413867,627613522,1396694736,104021888,238578694
2002,3237171962,185365,2385044906,61760,649190546,545313382,671732979,1508916501,104563935,239286785
2003,3264208251,213397,2712581478,63717,591704960,571330111,864993164,1707315183,110579302,227157256
2004,4914007033,252360,3397441790,73593,832827154,629037337,1021103242,1921937985,123082542,240953828
2005,5816640547,255310,4058808564,92095,987726272,749615360,1132984986,2395235359,136382791,301849983
2006,6344055416,243969,4653694992,95417,1080198552,855890524,1145651786,2348998550,137585698,297382202
2007,4046160180,192132,4860596631,102914,597131068,796558462,1363941539,2697577510,146049573,311584085
2008,5260250772,191624,5889456231,139805,609799364,958102236,1667668382,3337423140,158976641,381177935
2009,4388308289,132787,3711067144,79459,658199326,467544396,1395260038,2843286269,119911152,297863919
2010,5378733617,173540,4493000161,88878,741255515,711178018,1469144745,3151028395,132975294,329158381
2011,7068653653,185674,6578065520,112982,1129579255,1038643301,1728046270,3926574370,156240388,422470882
2012,7944642801,206730,8112284619,113900,1264969125,1315350247,2007518503,4613976162,173329365,467403001
2013,8768212401,185608,6204783347,108449,1371400641,1043914443,2333729166,4057425798,198346393,409842410
2014,11123573531,0,6074008659,0,1632131198,966620535,2274189479,3631075813,189928772,354592524
2015,12205690368,245459,5076691968,88065,1561767147,761201723,2111705536,3315518737,182372412,331202408
2016,8219961948,190251,3972605630,81773,1063921940,569030703,1985559307,2924815675,191430936,323119322
2017,9275504077,198424,4629377052,90844,1331570989,656011060,2037196511,3278264411,199510668,352549926
2018,12615519818,246867,5843002175,93379,1706787669,720111992,2343431227,3420032901,218382162,332232604
2019,13418382209,264747,6017740234,91328,1714558815,883672557,2499945898,3197478609,245734951,320677133
2020,9986097737,217397,3971479448,71672,0,604439721,2595256447,2857620647,262083087,0
2021,13131741560,293134,5281217875,98912,2002933944,708585743,3329354538,3607033015,0,314420497
2022,18658449579,379030,6301205568,101474,2081929822,713855581,4418126061,4833569684,409994091,427872563
2023,19599492042,297214,7925489898,100061,2266135926,0,4264212506,5267061256,333464745,427091573
2024,15626629362,229482,6687449726,81681,0,711871290,4152384921,4226799609,326835237,323724704
